Alimento	Categoria	Acqua	Proteine	Lipidi	Carboidrati	Zuccheri	Amido	Fibra
Coregone	Pesce	75.3	19	6.5	0.1	14.8	0.001	0.001
Coppa	Carne	34.7	28.9	31.6	0.1	0.001	0.001	0.001
Couscous	Cereali	9.1	13.7	1.1	76.5	10.6	67.1	2.8
Cozza	Pesce	82.1	11.7	2.7	3.4	10.4	2.8	0.001
Crescenza	Latticini	58.3	16.1	23.3	1.9	2.1	0.001	0.001
Crusca_di_frumento	Cereali	8.2	14.1	5.5	26.6	1.9	0.1	2.8
Dentice	Pesce	76.1	16.7	3.5	0.7	0.4	0.001	0.001
Emmenthal	Latticini	34.6	28.5	30.6	3.6	0.7	0.001	0.001
Fagioli	Legumi	10.5	23.6	2	47.5	0.7	33.5	42.4
Fagiolini	Legumi	90.5	2.1	0.1	2.4	0.6	13	12.7
Faraona_petto	Carne	74.2	25.8	1.9	0.2	0.001	0.3	0.001
Farro_perlato	Cereali	11.3	14.6	2.4	69.3	0.1	61.5	8.5
Fave	Legumi	83.9	5.2	0.4	4.5	11.2	11.1	2.1
Feta	Latticini	57.1	15.6	20.2	1.5	2	0.001	0.001
Fichi_dIndia	Frutta	83.2	0.8	0.1	13	9.6	0.001	3.5
Finocchi	Verdura	93.2	1.2	0.1	1.5	58.2	0.001	2.2
Fontina	Latticini	45.1	24.5	28.9	0.8	3.2	0.001	0.001
Fragole	Frutta	90.5	0.9	0.4	5.3	6.5	0.001	2.8
Frumento_duro	Cereali	11.5	13	2.9	62.5	3.1	74.2	2.5
Frumento_tenero	Cereali	12	12.3	2.6	65.2	1	66.2	1.6
Funghi_coltivati_prataioli	Verdura	90.4	3.7	0.2	0.8	25	0.001	2.4
Funghi_ovuli	Verdura	92.9	2	0.3	1.6	5.3	0.001	4.3
Funghi_porcini	Verdura	92	3.9	0.7	1	5.6	0.001	2.3
Gallina	Carne	66	20.9	12.3	0.001	0.001	0.001	0.001
Gamberi	Pesce	80.1	13.6	0.6	2.9	0.8	0.001	0.001
Gorgonzola	Latticini	50.8	19.1	27.1	1	2.2	0.001	0.001
Halibut	Pesce	74.5	20.6	3.5	0.001	0.001	0.001	0.001
